설치읍면동,위도,경도
강원도 원주시 우산동 123-1,37.3703842,127.9382401
강원도 원주시 우산동 123-1,37.3703842,127.9382401
강원도 원주시 우산동 121-18,37.3702087,127.9377136
강원도 원주시 우산동 411-10,37.3746109,127.9403839
강원도 원주시 태장1동 729-3,37.3559265,127.9562759
강원도 원주시 태장1동 1346-85,37.3583984,127.9526443
강원도 원주시 태장2동 1362-10,37.3857155,127.950119
강원도 원주시 봉산동 902-274,37.3438797,127.9623337
강원도 원주시 무실동 942-9,37.3361855,127.9345551
강원도 원주시 무실동 1716-3,37.3394623,127.9192429
강원도 원주시 무실동 1644,37.3358727,127.9243851
강원도 원주시 무실동 1728-8,37.3395195,127.926445
강원도 원주시 무실동 1822-1,37.3319054,127.9336777
강원도 원주시 명륜1동 311-11,37.3400917,127.9407806
강원도 원주시 반곡관설동 1657-15,37.322197,127.9605713
강원도 원주시 개운동 290-6,37.3383064,127.9526978
강원도 원주시 원인동 197-40,37.3451538,127.9487534
강원도 원주시 신림면 신림리 693-38,37.2296677,128.0817261
강원도 원주시 신림면 황둔리 658-14,37.262001,128.1926422
강원도 원주시 판부면 서곡리 60-6,37.3057289,127.9481125
강원도 원주시 원인동 210,37.3456688,127.9507675
강원도 원주시 지정면 신평리 1018,37.367588,127.8959885
강원도 원주시 명륜2동 764-2,37.3343582,127.9405975
강원도 원주시 명륜2동 388,37.3351212,127.9427032
강원도 원주시 태장2동 485,37.3865204,127.9559097
강원도 원주시 무실동 1887-1,37.3274002,127.9289474
강원도 원주시 무실동 1868-4,37.3270798,127.930809
강원도 원주시 문막읍 동화리 1539-3,37.3237648,127.829834
강원도 원주시 흥업면 매지리 1932-4,37.2781487,127.9093857
강원도 원주시 단계동 산73-40,37.3544273,127.9284821
강원도 원주시 단계동 1104,37.348423,127.9262314
강원도 원주시 단계동 1097-2,37.3500557,127.9254532
강원도 원주시 단계동 1098-1,37.3494377,127.9247971
강원도 원주시 단계동 853-1,37.3461571,127.9305801
강원도 원주시 단계동 791,37.3446312,127.9354324
강원도 원주시 문막읍 문막리 112-2,37.3059425,127.8217468
강원도 원주시 문막읍 동화리 1260-6,37.3225861,127.8349762
강원도 원주시 흥업면 흥업리 1477-4,37.3125496,127.904129
강원도 원주시 판부면 서곡리 2009-2,37.3188744,127.9482651
